"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 15:31:49 GMT 2021","Sat Aug 21 15:31:55 GMT 2021","5445","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Sikertelen regisztráció email cím megadása nélkül"
"broken","Sat Aug 21 15:31:06 GMT 2021","Sat Aug 21 15:31:17 GMT 2021","11650","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Annak ellenőrzése, hogy a felhasználó képes adatokat törölni a profiljából"
"broken","Sat Aug 21 15:30:54 GMT 2021","Sat Aug 21 15:31:06 GMT 2021","11850","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Annak ellenőrzése, hogy a felhasználó képes adatokat módosítani és azt elmenteni a profiljába"
"passed","Sat Aug 21 15:30:29 GMT 2021","Sat Aug 21 15:30:34 GMT 2021","5001","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","Találati lista első 50 címének  megjelenítése és fájlba mentése"
"broken","Sat Aug 21 15:31:35 GMT 2021","Sat Aug 21 15:31:49 GMT 2021","14032","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()","Annak ellenőrzése, hogy a felhasználó sikeresen ki tud jelentkezni az alkalmazásból
"
"broken","Sat Aug 21 15:29:14 GMT 2021","Sat Aug 21 15:29:29 GMT 2021","14682","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Annak ellenőrzése, hogy a felhasználó képes színészek adatait tartalmazó lista összeállítására"
"passed","Sat Aug 21 15:29:50 GMT 2021","Sat Aug 21 15:29:53 GMT 2021","3044","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
"passed","Sat Aug 21 15:29:57 GMT 2021","Sat Aug 21 15:30:00 GMT 2021","3101","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
"skipped","Sat Aug 21 15:31:18 GMT 2021","Sat Aug 21 15:31:18 GMT 2021","0","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Bejelentkezés érvénytelen jelszóval"
"passed","Sat Aug 21 15:30:24 GMT 2021","Sat Aug 21 15:30:29 GMT 2021","5061","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","Találati lista első 50 címének  megjelenítése és fájlba mentése"
