"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 10:02:05 GMT 2021","Wed Aug 18 10:02:14 GMT 2021","9055","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
"failed","Wed Aug 18 10:03:11 GMT 2021","Wed Aug 18 10:03:24 GMT 2021","13082","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"skipped","Wed Aug 18 10:03:38 GMT 2021","Wed Aug 18 10:03:38 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Wed Aug 18 10:01:58 GMT 2021","Wed Aug 18 10:02:00 GMT 2021","2254","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 10:02:57 GMT 2021","Wed Aug 18 10:03:11 GMT 2021","13802","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"passed","Wed Aug 18 10:01:53 GMT 2021","Wed Aug 18 10:01:55 GMT 2021","2531","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 10:02:00 GMT 2021","Wed Aug 18 10:02:02 GMT 2021","2226","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"failed","Wed Aug 18 10:02:14 GMT 2021","Wed Aug 18 10:02:20 GMT 2021","6607","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","testSaveSearchResultTitlesToFile()","Valid Login Test with Valid Username and Valid Password."
"broken","Wed Aug 18 10:01:36 GMT 2021","Wed Aug 18 10:01:50 GMT 2021","13369","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can write data in the profile"
"passed","Wed Aug 18 10:03:38 GMT 2021","Wed Aug 18 10:03:41 GMT 2021","3565","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"broken","Wed Aug 18 10:02:45 GMT 2021","Wed Aug 18 10:02:57 GMT 2021","11416","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"passed","Wed Aug 18 10:01:55 GMT 2021","Wed Aug 18 10:01:58 GMT 2021","2324","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"broken","Wed Aug 18 10:02:34 GMT 2021","Wed Aug 18 10:02:45 GMT 2021","11726","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"broken","Wed Aug 18 10:02:20 GMT 2021","Wed Aug 18 10:02:34 GMT 2021","13218","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"passed","Wed Aug 18 10:02:02 GMT 2021","Wed Aug 18 10:02:04 GMT 2021","2158","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 10:01:50 GMT 2021","Wed Aug 18 10:01:53 GMT 2021","2738","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"broken","Wed Aug 18 10:01:22 GMT 2021","Wed Aug 18 10:01:36 GMT 2021","14117","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user cannot  select the same actor in the list again and again"
"broken","Wed Aug 18 10:03:24 GMT 2021","Wed Aug 18 10:03:37 GMT 2021","13170","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
