"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Edit Profile Tests","User can write, modify, delete data in the profile","User write Biographic data in the profile","0","3","0","0","0"
"Edit Profile Tests","User can write, modify, delete data in the profile","User delete Biographic data in the profile","0","1","0","0","0"
"Privacy Policy Tests","Privacy Policy contains relevant text","User gets relevant and informative text from Privacy Policy.","0","0","6","0","0"
"","","","0","0","2","0","0"
"Login Tests","Invalid Login","User tries to login the system with valid username and invalid password.","0","0","1","0","0"
"Login Tests","Valid Login","User tries to login the system with valid username and valid password.","1","0","0","0","0"
"Registration Tests","Invalid Registration","User tries to register without email","0","0","1","0","0"
"Edit Profile Tests","User can write, modify, delete data in the profile","User modify Biographic data in the profile","0","1","0","0","0"
"","","","0","1","0","0","0"
"Registration Tests","Valid Registration","User tries to register with properly given data","0","0","0","1","0"
