"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 14:16:23 GMT 2021","Wed Aug 18 14:16:40 GMT 2021","16821","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user cannot  select the same actor in the list again and again"
"broken","Wed Aug 18 14:18:14 GMT 2021","Wed Aug 18 14:18:26 GMT 2021","12172","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"passed","Wed Aug 18 14:16:54 GMT 2021","Wed Aug 18 14:16:57 GMT 2021","3444","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 14:17:10 GMT 2021","Wed Aug 18 14:17:14 GMT 2021","4080","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 14:17:04 GMT 2021","Wed Aug 18 14:17:07 GMT 2021","2977","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 14:16:57 GMT 2021","Wed Aug 18 14:17:00 GMT 2021","3034","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 14:17:40 GMT 2021","Wed Aug 18 14:17:46 GMT 2021","6388","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","testSaveSearchResultTitlesToFile()","Valid Login Test with Valid Username and Valid Password."
"passed","Wed Aug 18 14:18:26 GMT 2021","Wed Aug 18 14:18:40 GMT 2021","13742","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"failed","Wed Aug 18 14:18:40 GMT 2021","Wed Aug 18 14:18:54 GMT 2021","14065","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"passed","Wed Aug 18 14:19:08 GMT 2021","Wed Aug 18 14:19:12 GMT 2021","3808","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"broken","Wed Aug 18 14:16:40 GMT 2021","Wed Aug 18 14:16:54 GMT 2021","13575","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can write data in the profile"
"passed","Wed Aug 18 14:17:07 GMT 2021","Wed Aug 18 14:17:10 GMT 2021","2876","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"broken","Wed Aug 18 14:18:01 GMT 2021","Wed Aug 18 14:18:14 GMT 2021","12997","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"passed","Wed Aug 18 14:17:14 GMT 2021","Wed Aug 18 14:17:40 GMT 2021","26070","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
"broken","Wed Aug 18 14:17:47 GMT 2021","Wed Aug 18 14:18:01 GMT 2021","14235","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"broken","Wed Aug 18 14:18:55 GMT 2021","Wed Aug 18 14:19:08 GMT 2021","13507","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"skipped","Wed Aug 18 14:19:08 GMT 2021","Wed Aug 18 14:19:08 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Wed Aug 18 14:17:00 GMT 2021","Wed Aug 18 14:17:04 GMT 2021","3429","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
