"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 19:54:26 GMT 2021","Fri Aug 20 19:54:29 GMT 2021","3000","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"broken","Fri Aug 20 19:53:23 GMT 2021","Fri Aug 20 19:53:35 GMT 2021","12890","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"passed","Fri Aug 20 19:52:34 GMT 2021","Fri Aug 20 19:52:37 GMT 2021","3379","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"passed","Fri Aug 20 19:53:19 GMT 2021","Fri Aug 20 19:53:22 GMT 2021","3195","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 3 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Fri Aug 20 19:53:15 GMT 2021","Fri Aug 20 19:53:19 GMT 2021","3675","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Fri Aug 20 19:52:37 GMT 2021","Fri Aug 20 19:52:40 GMT 2021","2583","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Fri Aug 20 19:52:44 GMT 2021","Fri Aug 20 19:52:47 GMT 2021","2621","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"passed","Fri Aug 20 19:52:47 GMT 2021","Fri Aug 20 19:52:49 GMT 2021","2644","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"broken","Fri Aug 20 19:53:47 GMT 2021","Fri Aug 20 19:53:59 GMT 2021","11633","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"broken","Fri Aug 20 19:52:21 GMT 2021","Fri Aug 20 19:52:33 GMT 2021","11926","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user can not create a list that  contains the same name multiple times"
"passed","Fri Aug 20 19:53:11 GMT 2021","Fri Aug 20 19:53:15 GMT 2021","4866","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"broken","Fri Aug 20 19:52:07 GMT 2021","Fri Aug 20 19:52:21 GMT 2021","13927","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can create a list contains her/his favourite actors"
"failed","Fri Aug 20 19:53:59 GMT 2021","Fri Aug 20 19:54:12 GMT 2021","13582","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"skipped","Fri Aug 20 19:54:26 GMT 2021","Fri Aug 20 19:54:26 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfulRegistration","testSuccessfulRegistration()","ValidRegistration Test with properly given data"
"passed","Fri Aug 20 19:52:40 GMT 2021","Fri Aug 20 19:52:42 GMT 2021","2397","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"passed","Fri Aug 20 19:52:42 GMT 2021","Fri Aug 20 19:52:44 GMT 2021","2176","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"broken","Fri Aug 20 19:54:13 GMT 2021","Fri Aug 20 19:54:26 GMT 2021","12895","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"broken","Fri Aug 20 19:53:35 GMT 2021","Fri Aug 20 19:53:47 GMT 2021","11521","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"skipped","Fri Aug 20 19:53:59 GMT 2021","Fri Aug 20 19:53:59 GMT 2021","0","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"passed","Fri Aug 20 19:52:50 GMT 2021","Fri Aug 20 19:53:11 GMT 2021","20874","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
