"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Registration Tests","Invalid Registration","User tries to register without email","0","0","1","0","0"
"Edit Profile Tests","User can write, modify, delete data in the profile","User write Biographic data in the profile","0","1","0","0","0"
"Privacy Policy Tests","Privacy Policy contains relevant text","User gets relevant and informative text from Privacy Policy.","0","0","6","0","0"
"Összetett keresési funkció tesztelése","A felhasználó képes több oldalas találati lista eléjétől végéig navigálni","Összetett keresési funkció tesztelése","0","0","4","0","0"
"Edit Profile Tests","User can write, modify, delete data in the profile","User delete Biographic data in the profile","0","1","0","0","0"
"Create list tests","User can create lists from the IMDB database eg. save actors/movies in a list","User can not create list that  contains the same  person's name","0","1","0","0","0"
"Create list tests","User can create lists from the IMDB database eg. save actors/movies in a list","User can create a list contains her/his favourite actors","0","1","0","0","0"
"Login Tests","Valid Login","User tries to login the system with valid username and valid password.","1","0","0","0","0"
"Registration Tests","Valid Registration","User tries to register with properly given data","0","0","0","1","0"
"","","","0","1","0","0","0"
"Edit Profile Tests","User can write, modify, delete data in the profile","User modify Biographic data in the profile","0","1","0","0","0"
"Login Tests","Invalid Login","User tries to login the system with valid username and invalid password.","0","0","0","1","0"
