"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 17:46:41 GMT 2021","Thu Aug 19 17:46:45 GMT 2021","4131","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Thu Aug 19 17:46:13 GMT 2021","Thu Aug 19 17:46:35 GMT 2021","22496","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
"skipped","Thu Aug 19 17:47:54 GMT 2021","Thu Aug 19 17:47:54 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Thu Aug 19 17:46:35 GMT 2021","Thu Aug 19 17:46:41 GMT 2021","5405","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Thu Aug 19 17:47:54 GMT 2021","Thu Aug 19 17:47:58 GMT 2021","3769","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"passed","Thu Aug 19 17:45:58 GMT 2021","Thu Aug 19 17:46:02 GMT 2021","3620","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 17:46:49 GMT 2021","Thu Aug 19 17:47:02 GMT 2021","13414","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"skipped","Thu Aug 19 17:47:27 GMT 2021","Thu Aug 19 17:47:27 GMT 2021","0","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"broken","Thu Aug 19 17:47:41 GMT 2021","Thu Aug 19 17:47:54 GMT 2021","13358","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"passed","Thu Aug 19 17:46:02 GMT 2021","Thu Aug 19 17:46:04 GMT 2021","2538","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:46:07 GMT 2021","Thu Aug 19 17:46:10 GMT 2021","2992","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:45:52 GMT 2021","Thu Aug 19 17:45:58 GMT 2021","5837","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 17:47:15 GMT 2021","Thu Aug 19 17:47:26 GMT 2021","11797","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"passed","Thu Aug 19 17:46:10 GMT 2021","Thu Aug 19 17:46:12 GMT 2021","2589","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 17:47:02 GMT 2021","Thu Aug 19 17:47:15 GMT 2021","12236","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"broken","Thu Aug 19 17:45:20 GMT 2021","Thu Aug 19 17:45:37 GMT 2021","16868","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user can not create a list that  contains the same name multiple times"
"broken","Thu Aug 19 17:45:37 GMT 2021","Thu Aug 19 17:45:52 GMT 2021","14871","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can create a list contains her/his favourite actors"
"broken","Thu Aug 19 17:47:27 GMT 2021","Thu Aug 19 17:47:41 GMT 2021","13913","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"passed","Thu Aug 19 17:46:45 GMT 2021","Thu Aug 19 17:46:49 GMT 2021","3947","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 3 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Thu Aug 19 17:46:04 GMT 2021","Thu Aug 19 17:46:07 GMT 2021","2279","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
