"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 18:03:51 GMT 2021","Mon Aug 16 18:04:02 GMT 2021","11649","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"broken","Mon Aug 16 18:02:37 GMT 2021","Mon Aug 16 18:02:53 GMT 2021","16016","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can write data in the profile"
"passed","Mon Aug 16 18:03:07 GMT 2021","Mon Aug 16 18:03:10 GMT 2021","2837","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"passed","Mon Aug 16 18:03:04 GMT 2021","Mon Aug 16 18:03:07 GMT 2021","2743","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"skipped","Mon Aug 16 18:04:45 GMT 2021","Mon Aug 16 18:04:45 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Mon Aug 16 18:04:45 GMT 2021","Mon Aug 16 18:04:50 GMT 2021","5300","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"passed","Mon Aug 16 18:03:01 GMT 2021","Mon Aug 16 18:03:04 GMT 2021","3066","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"broken","Mon Aug 16 18:03:39 GMT 2021","Mon Aug 16 18:03:51 GMT 2021","11940","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"passed","Mon Aug 16 18:03:13 GMT 2021","Mon Aug 16 18:03:23 GMT 2021","9487","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()",""
"passed","Mon Aug 16 18:04:03 GMT 2021","Mon Aug 16 18:04:17 GMT 2021","14144","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"passed","Mon Aug 16 18:02:53 GMT 2021","Mon Aug 16 18:02:58 GMT 2021","4811","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"broken","Mon Aug 16 18:04:31 GMT 2021","Mon Aug 16 18:04:45 GMT 2021","13714","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"broken","Mon Aug 16 18:03:23 GMT 2021","Mon Aug 16 18:03:39 GMT 2021","15839","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"failed","Mon Aug 16 18:04:17 GMT 2021","Mon Aug 16 18:04:31 GMT 2021","13696","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"passed","Mon Aug 16 18:02:58 GMT 2021","Mon Aug 16 18:03:01 GMT 2021","2944","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Mon Aug 16 18:03:10 GMT 2021","Mon Aug 16 18:03:13 GMT 2021","3116","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
