"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 06:07:59 GMT 2021","Thu Aug 19 06:08:01 GMT 2021","2210","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 06:09:46 GMT 2021","Thu Aug 19 06:10:00 GMT 2021","14183","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"passed","Thu Aug 19 06:08:37 GMT 2021","Thu Aug 19 06:08:41 GMT 2021","4498","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 3 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"failed","Thu Aug 19 06:09:33 GMT 2021","Thu Aug 19 06:09:46 GMT 2021","12977","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"broken","Thu Aug 19 06:08:42 GMT 2021","Thu Aug 19 06:08:55 GMT 2021","13249","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"passed","Thu Aug 19 06:09:19 GMT 2021","Thu Aug 19 06:09:33 GMT 2021","13996","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"skipped","Thu Aug 19 06:10:00 GMT 2021","Thu Aug 19 06:10:00 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"passed","Thu Aug 19 06:08:27 GMT 2021","Thu Aug 19 06:08:33 GMT 2021","5993","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Thu Aug 19 06:07:51 GMT 2021","Thu Aug 19 06:07:53 GMT 2021","2101","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 06:07:17 GMT 2021","Thu Aug 19 06:07:31 GMT 2021","14011","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user can not create a list that  contains the same name multiple times"
"passed","Thu Aug 19 06:07:56 GMT 2021","Thu Aug 19 06:07:59 GMT 2021","2918","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 06:08:55 GMT 2021","Thu Aug 19 06:09:07 GMT 2021","11912","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"passed","Thu Aug 19 06:07:47 GMT 2021","Thu Aug 19 06:07:51 GMT 2021","3956","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 06:08:01 GMT 2021","Thu Aug 19 06:08:27 GMT 2021","25123","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
"skipped","Thu Aug 19 06:10:00 GMT 2021","Thu Aug 19 06:10:00 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Thu Aug 19 06:08:33 GMT 2021","Thu Aug 19 06:08:37 GMT 2021","4289","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Thu Aug 19 06:07:53 GMT 2021","Thu Aug 19 06:07:56 GMT 2021","2741","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 06:07:44 GMT 2021","Thu Aug 19 06:07:47 GMT 2021","2979","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 06:09:07 GMT 2021","Thu Aug 19 06:09:18 GMT 2021","11693","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"broken","Thu Aug 19 06:07:31 GMT 2021","Thu Aug 19 06:07:44 GMT 2021","12950","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can create a list contains her/his favourite actors"
