"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 15:00:26 GMT 2021","Fri Sep 10 15:00:32 GMT 2021","6224","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 3 of 3","Találati lista első 50 címének  megjelenítése és fájlba mentése"
"broken","Fri Sep 10 14:58:39 GMT 2021","Fri Sep 10 14:58:58 GMT 2021","19801","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()","Annak ellenőrzése, hogy a felhasználó sikeresen ki tud jelentkezni az alkalmazásból
"
"passed","Fri Sep 10 14:58:39 GMT 2021","Fri Sep 10 14:58:48 GMT 2021","8898","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
"passed","Fri Sep 10 14:59:43 GMT 2021","Fri Sep 10 15:00:11 GMT 2021","28423","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Összetett keresés eredményeként kapott több oldalas találati lista bejárása"
"passed","Fri Sep 10 14:58:54 GMT 2021","Fri Sep 10 14:59:01 GMT 2021","7213","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
"skipped","Fri Sep 10 15:01:02 GMT 2021","Fri Sep 10 15:01:02 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfulRegistration","testSuccessfulRegistration()","Regisztráció érvényes adatokkal"
"broken","Fri Sep 10 15:00:32 GMT 2021","Fri Sep 10 15:00:48 GMT 2021","15577","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Annak ellenőrzése, hogy a felhasználó képes színészek adatait tartalmazó lista összeállítására"
"passed","Fri Sep 10 15:01:02 GMT 2021","Fri Sep 10 15:01:07 GMT 2021","4980","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Sikertelen regisztráció email cím megadása nélkül"
"passed","Fri Sep 10 14:58:32 GMT 2021","Fri Sep 10 14:58:39 GMT 2021","6301","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
"passed","Fri Sep 10 14:58:48 GMT 2021","Fri Sep 10 14:58:54 GMT 2021","6493","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
"failed","Fri Sep 10 14:58:14 GMT 2021","Fri Sep 10 14:58:38 GMT 2021","24065","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Bejelentkezés érvényes adatokkal"
"broken","Fri Sep 10 14:58:59 GMT 2021","Fri Sep 10 14:59:17 GMT 2021","17796","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Annak ellenőrzése, hogy a felhasználó képes adatokat megadni és azt elmenteni a profiljába"
"passed","Fri Sep 10 15:00:11 GMT 2021","Fri Sep 10 15:00:19 GMT 2021","7389","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","Találati lista első 50 címének  megjelenítése és fájlba mentése"
"broken","Fri Sep 10 15:00:48 GMT 2021","Fri Sep 10 15:01:02 GMT 2021","14223","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Annak ellenőrzése, hogy a webalkalmazás meggátolja azonos nevek szerepeltetését a listában"
"broken","Fri Sep 10 14:59:17 GMT 2021","Fri Sep 10 14:59:30 GMT 2021","13473","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Annak ellenőrzése, hogy a felhasználó képes adatokat módosítani és azt elmenteni a profiljába"
"passed","Fri Sep 10 15:00:19 GMT 2021","Fri Sep 10 15:00:26 GMT 2021","6983","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","Találati lista első 50 címének  megjelenítése és fájlba mentése"
"skipped","Fri Sep 10 14:58:14 GMT 2021","Fri Sep 10 14:58:14 GMT 2021","1","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Bejelentkezés érvénytelen jelszóval"
"passed","Fri Sep 10 14:58:14 GMT 2021","Fri Sep 10 14:58:26 GMT 2021","11727","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Annak ellenőrzése, hogy az Adatkezelési Nyilatkozat releváns elemeket tartalmaz"
