"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 12:30:07 GMT 2021","Wed Aug 18 12:30:10 GMT 2021","2502","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 12:30:55 GMT 2021","Wed Aug 18 12:31:08 GMT 2021","13906","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"failed","Wed Aug 18 12:31:08 GMT 2021","Wed Aug 18 12:31:22 GMT 2021","13974","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"broken","Wed Aug 18 12:30:08 GMT 2021","Wed Aug 18 12:30:22 GMT 2021","14353","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can write data in the profile"
"passed","Wed Aug 18 12:30:05 GMT 2021","Wed Aug 18 12:30:07 GMT 2021","2339","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"broken","Wed Aug 18 12:30:24 GMT 2021","Wed Aug 18 12:30:35 GMT 2021","11796","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"passed","Wed Aug 18 12:30:47 GMT 2021","Wed Aug 18 12:30:54 GMT 2021","7051","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","testSaveSearchResultTitlesToFile()","Valid Login Test with Valid Username and Valid Password."
"broken","Wed Aug 18 12:30:10 GMT 2021","Wed Aug 18 12:30:24 GMT 2021","13698","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"passed","Wed Aug 18 12:29:57 GMT 2021","Wed Aug 18 12:30:00 GMT 2021","2901","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"failed","Wed Aug 18 12:30:22 GMT 2021","Wed Aug 18 12:30:47 GMT 2021","25073","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
"broken","Wed Aug 18 12:30:47 GMT 2021","Wed Aug 18 12:31:01 GMT 2021","14047","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"skipped","Wed Aug 18 12:31:23 GMT 2021","Wed Aug 18 12:31:23 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Wed Aug 18 12:31:23 GMT 2021","Wed Aug 18 12:31:26 GMT 2021","3411","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"passed","Wed Aug 18 12:29:52 GMT 2021","Wed Aug 18 12:29:57 GMT 2021","4574","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"passed","Wed Aug 18 12:30:00 GMT 2021","Wed Aug 18 12:30:02 GMT 2021","2414","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"broken","Wed Aug 18 12:30:35 GMT 2021","Wed Aug 18 12:30:47 GMT 2021","11711","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"passed","Wed Aug 18 12:30:02 GMT 2021","Wed Aug 18 12:30:05 GMT 2021","2695","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"broken","Wed Aug 18 12:29:52 GMT 2021","Wed Aug 18 12:30:07 GMT 2021","15493","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user cannot  select the same actor in the list again and again"
