"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 06:18:56 GMT 2021","Thu Aug 19 06:19:08 GMT 2021","12033","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"passed","Thu Aug 19 06:17:58 GMT 2021","Thu Aug 19 06:18:22 GMT 2021","23984","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
"passed","Thu Aug 19 06:17:38 GMT 2021","Thu Aug 19 06:17:43 GMT 2021","4582","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 06:17:43 GMT 2021","Thu Aug 19 06:17:47 GMT 2021","4418","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 06:17:33 GMT 2021","Thu Aug 19 06:17:38 GMT 2021","4859","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"skipped","Thu Aug 19 06:19:50 GMT 2021","Thu Aug 19 06:19:50 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Thu Aug 19 06:18:22 GMT 2021","Thu Aug 19 06:18:28 GMT 2021","5970","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"broken","Thu Aug 19 06:17:19 GMT 2021","Thu Aug 19 06:17:33 GMT 2021","13596","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can create a list contains her/his favourite actors"
"broken","Thu Aug 19 06:19:08 GMT 2021","Thu Aug 19 06:19:20 GMT 2021","11904","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"broken","Thu Aug 19 06:18:42 GMT 2021","Thu Aug 19 06:18:56 GMT 2021","14330","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"passed","Thu Aug 19 06:17:54 GMT 2021","Thu Aug 19 06:17:58 GMT 2021","4319","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"failed","Thu Aug 19 06:19:20 GMT 2021","Thu Aug 19 06:19:35 GMT 2021","15059","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"broken","Thu Aug 19 06:17:05 GMT 2021","Thu Aug 19 06:17:19 GMT 2021","14330","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user can not create a list that  contains the same name multiple times"
"failed","Thu Aug 19 06:18:35 GMT 2021","Thu Aug 19 06:18:41 GMT 2021","6774","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 3 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"passed","Thu Aug 19 06:17:47 GMT 2021","Thu Aug 19 06:17:50 GMT 2021","3330","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 06:18:28 GMT 2021","Thu Aug 19 06:18:35 GMT 2021","6447","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"skipped","Thu Aug 19 06:19:50 GMT 2021","Thu Aug 19 06:19:50 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"broken","Thu Aug 19 06:19:36 GMT 2021","Thu Aug 19 06:19:50 GMT 2021","13965","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"skipped","Thu Aug 19 06:19:20 GMT 2021","Thu Aug 19 06:19:20 GMT 2021","0","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"passed","Thu Aug 19 06:17:50 GMT 2021","Thu Aug 19 06:17:54 GMT 2021","3362","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
